ماه,نام کالا,وزن خالص فروش
فروردین,وکیوم سالامی روسی 300gr(97درصد گوشت),11
فروردین,وکیوم رولت مخلوط 300gr(98درصد گوشت قرمز و بوقلمون),11
فروردین,وکیوم سوسیس کوکتل وینر دودی 80%,11
فروردین,وکیوم کالباس مخلوط گوشت و مرغ 300gr(90درصد),8
فروردین,توری سوسیس کوکتل لیونر 2000gr(55درصد ),8
فروردین,وکیوم استیک ژانویه 300gr(97درصد گوشت),8
فروردین,وکیوم هندران 300 گرمی (98درصد ران بوقلمون),6
فروردین,کالباس مخلوط گوشت و مرغ خانواده 500gr (90درصد),6
فروردین,توری کوکتل مرغ 500gr(70درصد),6
فروردین,وکيوم سوسيس کوکتل ليونر (55درصد گوشت),4
فروردین,توری سوسيس کوکتل دودي 2000gr(70درصد گوشت),4
فروردین,وکیوم بیکن مخلوط 300gr(97/5درصد گوشت قرمز و مرغ),2
فروردین,وکیوم بیکن مرغ 300gr(98درصد),2
فروردین,توری سوسیس کوکتل رویال 2000gr(70درصد),2
اردیبهشت,سوسیس هات داگ رویال (70درصد گوشت),10428
اردیبهشت,سوسیس کوکتل رویال (70درصد گوشت),8607
اردیبهشت,سوسیس هات داگ آلمانی (40درصد گوشت),8570
اردیبهشت,کالباس مرغ پرسی (90درصد),7316
اردیبهشت,کالباس گوشت پرسی (90درصد گوشت),7068
اردیبهشت,سوسیس کوکتل لیونر (55درصد گوشت),6,10
اردیبهشت,کالباس خشک (60درصد گوشت),5216
اردیبهشت,کالباس ليونر مخلوط گوشت و مرغ (55درصد),4960
اردیبهشت,هروئیکا بدون استخوان (98درصد سینه مرغ),4677
اردیبهشت,کالباس خشک ممتازگرد (70درصد گوشت),4038
اردیبهشت,ژامبون بوقلمون(98درصد),3417
اردیبهشت,کالباس لیونر (55درصد گوشت),3350
اردیبهشت,کالباس مرغ تنوری (90درصد مرغ),3277
اردیبهشت,سوسیس هات داگ لیونر (55درصد گوشت),3027
اردیبهشت,سوسیس هات داگ فست فودی 55درصد,3006
اردیبهشت,هندوشکا (98درصد سینه بوقلمون),2785
اردیبهشت,بیکن سینه بوقلمون (98درصد),2621
اردیبهشت,سوسيس کوکتل شکاري پلاس  (90درصد گوشت),2529
اردیبهشت,کالباس خشک ممتازقالبی (70درصد گوشت),2517
اردیبهشت,سوسیس فسقلی (55درصد گوشت),2340
اردیبهشت,بیکن صبحانه (97درصد گوشت),2269
اردیبهشت,ناگت مرغ  ستاره ای,2202
اردیبهشت,کالباس مرغ و قارچ (60درصد),2000
اردیبهشت,سوسیس کوکتل پنیر (55درصد گوشت),1977
اردیبهشت,کالباس مرغ (70درصد مرغ),1911
اردیبهشت,بیکن ران بوقلمون (98درصد),1772
اردیبهشت,سوسیس کوکتل دودی (70درصد گوشت),1692
اردیبهشت,سوسیس هات داگ پنیر (55درصد گوشت),1573
اردیبهشت,بیکن گوساله (97درصد),1527
اردیبهشت,شنیسل مرغ,1512
اردیبهشت,کالباس مارتادلا (40درصد گوشت),1160
اردیبهشت,میت برگر 100% گوشت - 500 گرمی رباط,1140
اردیبهشت,بیکن مرغ (98درصد),1136
اردیبهشت,بیکن مخلوط (97/5درصد گوشت قرمز و مرغ),1127
اردیبهشت,کالباس گوشت تنوری (90درصد گوشت),1109
اردیبهشت,سوسیس هات داگ قارچ و پنیر ( ماشروم کراکف ) 55%,1072
اردیبهشت,کالباس پپرونی (70درصد گوشت),1032
اردیبهشت,ناگت مرغ  ساده,1024
اردیبهشت,سوسیس بلغاری گوشت (55درصد),937
اردیبهشت,سوسيس کراکو پنير(55درصدگوشت),933
اردیبهشت,سوسیس هات داگ رویال 28 سانتی(70درصد گوشت),902
اردیبهشت,مک برگر 500گرمي (گوشت 90درصد),867
اردیبهشت,مک برگر 450 گرمي -فست فودی (گوشت 90درصد),831
اردیبهشت,سوسیس هات داگ باچینو (40درصد مرغ),699
اردیبهشت,کالباس سالامی (90درصد گوشت),674
اردیبهشت,برگر ممتاز 60% - 500 گرمی -قازاریان,651
اردیبهشت,همبرگر  500 گرمی (30 % گوشت قرمز)-قازاریان,620
اردیبهشت,اسموکی برگر 90% - 500 گرمی - رباط,610
